in_dim,out_dim,depth,widths,activation,bias,skip_connections,residual_period,layernorm,init,target_params,hidden,n_data,x_dist,cov_decay,mixture_k,mixture_spread,x_dim_latent,noise_model,noise_scale,hetero_scale,student_df,outlier_frac,outlier_scale,teacher_depth,teacher_widths,teacher_activation,teacher_dropout_rate,loss,beta_mode,beta0,prior_radius,gamma,prior_center,reference_for_L0,samplers,chains,use_batched_chains,sgld_steps,sgld_warmup,sgld_batch_size,sgld_step_size,sgld_thin,sgld_eval_every,sgld_dtype,sgld_precond,sgld_beta1,sgld_beta2,sgld_eps,sgld_bias_correction,sghmc_steps,sghmc_warmup,sghmc_batch_size,sghmc_step_size,sghmc_temperature,sghmc_thin,sghmc_eval_every,sghmc_dtype,hmc_draws,hmc_warmup,hmc_num_integration_steps,hmc_thin,hmc_eval_every,hmc_dtype,mclmc_draws,mclmc_eval_every,mclmc_thin,mclmc_dtype,mclmc_tune_steps,mclmc_diagonal_preconditioning,mclmc_desired_energy_var,mclmc_integrator,mclmc_adjusted,mclmc_adjusted_target_accept,mclmc_grad_per_step_override,seed,use_tqdm,progress_update_every,profile_adaptation,diag_mode,diag_k,diag_seed,max_theta_plot_dims,save_plots_prefix,artifacts_dir,save_plots,show_plots,auto_create_run_dir,save_manifest,save_readme_snippet,auto_update_readme,save_artifacts,llc_sgld,llc_hmc,llc_mclmc
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,2,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,5402.858893651008,79.20602172782911,111.94290642298829
32,1,3,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,222533.16390307544,56.33441179645339,70.55934670323505
32,1,4,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,195849.64568425177,61.574164123242824,207189.4504434878
32,1,1,,relu,True,False,2,False,he,10000,50,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,100,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,200,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,400,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,relu,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,658.9592862112103,181.98193943216168,324.07611332809626
32,1,1,,tanh,True,False,2,False,he,10000,300,1000,gauss_iso,0.95,4,2.0,2,gauss,0.1,0.1,4.0,0.05,2.0,,,,0.0,mse,1_over_log_n,1.0,,1.0,,,"('sgld', 'hmc', 'mclmc')",2,False,1000,200,256,1e-06,5,100,float32,adam,0.9,0.999,1e-08,True,4000,1000,256,1e-06,1.0,20,10,float32,200,100,10,2,20,float64,400,40,2,float64,2000,False,0.0005,isokinetic_mclachlan,False,0.9,,0,True,50,True,proj,16,1234,8,,/artifacts,False,False,True,True,True,False,True,15.260603318783703,164.9865804993887,175.7087227479977
